Deck ID,Date,Record (wins),Record (losses),Record (ratio),Colors,Format,Set,Notes
1,Feb 24 2019,0,2,0.0,"W, U, B",Bo3,RNA,
2,Feb 27 2019,0,2,0.0,"W, U, B",Bo3,RNA,
3,Mar 23 2019,0,2,0.0,"W, U, G",Bo3,RNA,
4,Mar 21 2019,0,2,0.0,"W, U, B, R",Bo3,RNA,
5,Mar 21 2019,0,2,0.0,"W, U, B",Bo3,RNA,
6,Feb 24 2019,1,2,0.5,"R, B",Bo3,RNA,
7,Feb 26 2019,1,2,0.5,"R, B",Bo3,RNA,
8,Mar 2 2019,1,2,0.5,"B, R",Bo3,RNA,
9,Mar 2 2019,1,2,0.5,"W, U, B",Bo3,RNA,
10,Mar 9 2019,1,2,0.5,"U, G",Bo3,RNA,
11,Mar 22 2019,1,2,0.5,"W, U, B",Bo3,RNA,
12,Mar 19 2019,1,2,0.5,"W, B",Bo3,RNA,
13,Mar 12 2019,1,2,0.5,"B, R",Bo3,RNA,
14,Mar 31 2019,1,2,0.5,"u, R, G",Bo3,RNA,
15,Mar 27 2019,2,3,0.7,"W, U, B",Bo1,RNA,
16,Feb 23 2019,2,2,1.0,"U, G",Bo3,RNA,
17,Feb 23 2019,2,2,1.0,"U, G",Bo3,RNA,
18,Feb 26 2019,2,2,1.0,"W, U, G",Bo3,RNA,
19,Mar 3 2019,2,2,1.0,"W, U, B",Bo3,RNA,
20,Mar 3 2019,2,2,1.0,"B, R, G",Bo3,RNA,
21,Mar 22 2019,2,2,1.0,"W, U, R, G",Bo3,RNA,
22,Mar 21 2019,2,2,1.0,"W, U, B",Bo3,RNA,
23,Mar 19 2019,2,2,1.0,"W, U, B",Bo3,RNA,
24,Mar 29 2019,2,2,1.0,"W, U, G",Bo3,RNA,
25,Mar 30 2019,2,2,1.0,"W, U, B",Bo3,RNA,
26,Feb 24 2019,3,2,1.5,"U, R, G",Bo3,RNA,
27,Feb 27 2019,3,2,1.5,"W, U, G",Bo3,RNA,
28,Mar 11 2019,3,2,1.5,"U, G",Bo3,RNA,
29,Mar 20 2019,3,2,1.5,"W, U, B",Bo3,RNA,
30,Mar 31 2019,4,3,1.3,"W, U",Bo1,C19,Uncaptured
31,Feb 28 2019,4,2,2.0,"W, U, B",Bo3,RNA,
32,Feb 28 2019,4,2,2.0,"W, U, B",Bo3,RNA,
33,Mar 2 2019,4,2,2.0,"W, U, B",Bo3,RNA,
34,Mar 21 2019,4,2,2.0,"W, U, G",Bo3,RNA,
35,Mar 24 2019,4,2,2.0,"W, U, B",Bo3,RNA,
36,Mar 19 2019,4,2,2.0,"W, B",Bo3,RNA,
37,Mar 23 2019,4,2,2.0,"U, R, G",Bo3,RNA,
38,Mar 27 2019,4,2,2.0,"W, B",Bo3,RNA,Uncaptured
39,Mar 25 2019,5,3,1.7,"W, U, G",Bo1,RNA,
40,Mar 1 2019,5,1,5.0,"W, U, G",Bo3,RNA,
41,Mar 2 2019,5,1,5.0,"U, R, G",Bo3,RNA,
42,Mar 10 2019,5,1,5.0,"U, R, G",Bo3,RNA,
43,Mar 30 2019,5,1,5.0,"W, B",Bo3,RNA,
44,Mar 31 2019,5,1,5.0,"w, U, G",Bo3,RNA,
45,Apr 04 2019,2,3,0.7,"U, R",Bo1,C19,Uncaptured
46,Apr 05 2019,5,3,1.7,"U, B",Bo1 Sealed,GRN,
47,Apr 04 2019,2,3,0.7,"U, R",Bo1,C19,
48,Apr 04 2019,3,3,1.0,"R, G",Bo1,C19,
49,Apr 01 2019,7,2,3.5,"R, G",Bo1,C19,
50,Apr 02 2019,7,2,3.5,"U, B",Bo1,C19,
51,Mar 03 2019,2,3,0.7,"W, G",Bo1,RIX,
52,Mar 02 2019,6,3,2.0,"W, B, R",Bo1,RIX,
53,Mar 02 2019,7,2,3.5,"R, G",Bo1,RIX,
